instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
30,2011-01-30,1,0,1,0,0,0,1,22,25,72,7,140,956,1096
31,2011-01-31,1,0,1,0,1,1,2,18,19,60,19,42,1459,1501
32,2011-02-01,1,0,2,0,2,1,2,19,23,83,5,47,1313,1360
33,2011-02-02,1,0,2,0,3,1,2,26,25,78,26,72,1454,1526
34,2011-02-03,1,0,2,0,4,1,1,19,18,44,28,61,1489,1550
35,2011-02-04,1,0,2,0,5,1,2,21,23,59,13,88,1620,1708
36,2011-02-05,1,0,2,0,6,0,2,23,24,93,16,100,905,1005
37,2011-02-06,1,0,2,0,0,0,1,29,29,57,14,354,1269,1623
38,2011-02-07,1,0,2,0,1,1,1,27,30,74,5,120,1592,1712
39,2011-02-08,1,0,2,0,2,1,1,22,20,54,36,64,1466,1530
40,2011-02-09,1,0,2,0,3,1,2,13,14,49,19,53,1552,1605
41,2011-02-10,1,0,2,0,4,1,1,14,15,44,22,47,1491,1538
42,2011-02-11,1,0,2,0,5,1,1,19,21,51,11,149,1597,1746
43,2011-02-12,1,0,2,0,6,0,1,22,23,54,20,288,1184,1472
44,2011-02-13,1,0,2,0,0,0,1,32,32,46,26,397,1192,1589
45,2011-02-14,1,0,2,0,1,1,1,42,40,38,42,208,1705,1913
46,2011-02-15,1,0,2,0,2,1,1,27,25,31,29,140,1675,1815
47,2011-02-16,1,0,2,0,3,1,1,32,32,42,25,218,1897,2115
48,2011-02-17,1,0,2,0,4,1,1,44,43,50,23,259,2216,2475
49,2011-02-18,1,0,2,0,5,1,1,52,51,52,26,579,2348,2927
50,2011-02-19,1,0,2,0,6,0,1,40,39,19,51,532,1103,1635
51,2011-02-20,1,0,2,0,0,0,1,29,28,41,22,639,1173,1812
52,2011-02-21,1,0,2,1,1,0,2,30,28,60,31,195,912,1107
53,2011-02-22,1,0,2,0,2,1,1,18,19,58,20,74,1376,1450
54,2011-02-23,1,0,2,0,3,1,1,22,25,42,9,139,1778,1917
55,2011-02-24,1,0,2,0,4,1,2,30,29,70,25,100,1707,1807
56,2011-02-25,1,0,2,0,5,1,2,36,35,71,35,120,1341,1461
57,2011-02-26,1,0,2,0,6,0,1,28,28,54,19,424,1545,1969
58,2011-02-27,1,0,2,0,0,0,1,34,35,68,13,694,1708,2402
59,2011-02-28,1,0,2,0,1,1,2,41,40,88,29,81,1365,1446
60,2011-03-01,1,0,3,0,2,1,1,27,26,54,22,137,1714,1851
61,2011-03-02,1,0,3,0,3,1,1,34,32,45,31,231,1903,2134
62,2011-03-03,1,0,3,0,4,1,1,20,20,32,23,123,1562,1685
63,2011-03-04,1,0,3,0,5,1,2,26,26,61,20,214,1730,1944
64,2011-03-05,1,0,3,0,6,0,2,38,38,79,25,640,1437,2077
65,2011-03-06,1,0,3,0,0,0,2,38,37,95,34,114,491,605
66,2011-03-07,1,0,3,0,1,1,1,26,24,55,34,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,29,30,42,12,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,30,29,78,22,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,39,39,0,26,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,32,30,65,23,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,33,33,59,22,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,38,38,53,27,982,1435,2417
73,2011-03-14,1,0,3,0,1,1,1,33,33,50,14,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,32,32,66,18,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,37,37,78,20,321,1871,2192
76,2011-03-17,1,0,3,0,4,1,1,42,41,60,21,424,2320,2744
77,2011-03-18,1,0,3,0,5,1,1,54,53,53,23,884,2355,3239
78,2011-03-19,1,0,3,0,6,0,1,47,47,38,37,1424,1693,3117
79,2011-03-20,1,0,3,0,0,0,1,33,33,47,21,1047,1424,2471
80,2011-03-21,2,0,3,0,1,1,2,43,41,74,29,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,44,44,62,23,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,35,34,84,23,203,1918,2121
83,2011-03-24,2,0,3,0,4,1,2,28,27,81,24,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,26,26,50,23,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,27,26,39,21,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,25,25,49,18,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,26,26,30,21,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,30,29,31,23,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,30,30,65,17,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,27,26,92,22,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,30,28,69,26,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,32,32,65,20,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,38,38,48,18,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,57,54,43,39,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,41,40,64,39,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,39,39,47,26,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,44,43,60,16,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,34,32,84,23,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,34,34,88,13,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,43,43,86,15,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,60,57,72,32,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,50,49,74,27,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,41,42,82,25,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,47,46,54,11,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,45,44,67,23,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,43,43,89,34,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,46,45,48,30,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,51,50,54,16,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,51,49,67,16,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,60,56,61,24,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,46,45,41,33,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,34,32,73,22,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,46,45,89,23,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,58,55,81,19,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,61,57,78,19,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,63,59,73,33,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,62,58,84,31,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,62,58,70,32,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,51,50,46,24,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,47,46,50,24,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,45,45,76,11,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,55,53,73,18,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,62,58,70,34,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,41,40,74,33,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,46,44,44,30,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,48,47,59,23,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,52,51,54,16,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,53,52,63,7,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,53,53,59,18,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,53,52,49,12,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,54,53,63,12,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,54,52,75,19,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,51,49,86,18,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,52,50,92,13,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,56,54,87,15,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,58,55,79,13,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,56,54,84,28,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,55,53,87,20,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,53,51,83,11,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,54,53,72,13,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,60,57,63,12,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,60,57,75,15,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,63,59,81,23,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,66,60,74,21,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,66,62,70,15,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,71,65,68,20,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,68,64,65,24,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,66,61,73,23,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,67,62,82,21,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0,1,73,67,68,13,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,78,73,64,11,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,76,72,68,21,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,72,64,30,29,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,62,59,35,25,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,64,59,46,12,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,65,62,65,14,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,68,62,60,12,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,71,66,60,19,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,78,73,62,14,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,81,76,57,15,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,76,70,60,14,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,72,68,65,15,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,69,64,75,16,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,64,60,49,31,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,60,59,51,27,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,63,59,47,17,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,63,60,69,21,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,65,60,74,14,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,70,64,67,12,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,70,65,67,10,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,64,60,75,16,699,3311,4010
172,2011-06-21,3,0,6,0,2,1,2,68,64,77,17,774,4061,4835
173,2011-06-22,3,0,6,0,3,1,1,73,69,71,17,661,3846,4507
174,2011-06-23,3,0,6,0,4,1,2,73,69,70,24,746,4044,4790
175,2011-06-24,3,0,6,0,5,1,1,72,66,57,22,969,4022,4991
176,2011-06-25,3,0,6,0,6,0,1,70,64,48,21,1782,3420,5202
177,2011-06-26,3,0,6,0,0,0,1,68,64,51,9,1920,3385,5305
178,2011-06-27,3,0,6,0,1,1,2,68,64,66,11,854,3854,4708
179,2011-06-28,3,0,6,0,2,1,1,74,69,63,14,732,3916,4648
180,2011-06-29,3,0,6,0,3,1,1,73,65,50,26,848,4377,5225
181,2011-06-30,3,0,6,0,4,1,1,70,64,43,19,1027,4488,5515
182,2011-07-01,3,0,7,0,5,1,1,72,65,40,10,1246,4116,5362
183,2011-07-02,3,0,7,0,6,0,1,74,67,44,12,2204,2915,5119
184,2011-07-03,3,0,7,0,0,0,2,72,67,68,23,2282,2367,4649
185,2011-07-04,3,0,7,1,1,0,2,73,67,64,8,3065,2978,6043
186,2011-07-05,3,0,7,0,2,1,1,75,70,59,13,1031,3634,4665
187,2011-07-06,3,0,7,0,3,1,1,72,69,74,15,784,3845,4629
188,2011-07-07,3,0,7,0,4,1,1,75,69,65,16,754,3838,4592
189,2011-07-08,3,0,7,0,5,1,2,71,67,76,23,692,3348,4040
190,2011-07-09,3,0,7,0,6,0,1,73,66,61,17,1988,3348,5336
191,2011-07-10,3,0,7,0,0,0,1,75,69,58,18,1743,3138,4881
192,2011-07-11,3,0,7,0,1,1,1,76,73,64,28,723,3363,4086
193,2011-07-12,3,0,7,0,2,1,1,79,74,56,20,662,3596,4258
194,2011-07-13,3,0,7,0,3,1,1,75,69,63,15,748,3594,4342
195,2011-07-14,3,0,7,0,4,1,1,68,64,48,24,888,4196,5084
196,2011-07-15,3,0,7,0,5,1,1,66,62,59,18,1318,4220,5538
197,2011-07-16,3,0,7,0,6,0,1,69,64,58,21,2418,3505,5923
198,2011-07-17,3,0,7,0,0,0,1,72,67,60,25,2006,3296,5302
199,2011-07-18,3,0,7,0,1,1,1,75,70,65,22,841,3617,4458
200,2011-07-19,3,0,7,0,2,1,1,78,75,65,13,752,3789,4541
201,2011-07-20,3,0,7,0,3,1,1,77,75,71,11,644,3688,4332
202,2011-07-21,3,0,7,0,4,1,2,82,83,69,22,632,3152,3784
203,2011-07-22,3,0,7,0,5,1,1,85,84,58,13,562,2825,3387
204,2011-07-23,3,0,7,0,6,0,1,85,80,50,13,987,2298,3285
205,2011-07-24,3,0,7,0,0,0,1,83,79,55,17,1050,2556,3606
206,2011-07-25,3,0,7,0,1,1,1,74,72,76,9,568,3272,3840
207,2011-07-26,3,0,7,0,2,1,1,77,70,54,20,750,3840,4590
208,2011-07-27,3,0,7,0,3,1,1,78,69,40,18,755,3901,4656
209,2011-07-28,3,0,7,0,4,1,1,78,74,58,18,606,3784,4390
210,2011-07-29,3,0,7,0,5,1,1,84,79,54,17,670,3176,3846
211,2011-07-30,3,0,7,0,6,0,1,80,73,47,17,1559,2916,4475
212,2011-07-31,3,0,7,0,0,0,1,81,73,48,16,1524,2778,4302
213,2011-08-01,3,0,8,0,1,1,1,77,70,55,16,729,3537,4266
214,2011-08-02,3,0,8,0,2,1,1,78,71,49,21,801,4044,4845
215,2011-08-03,3,0,8,0,3,1,2,73,68,66,14,467,3107,3574
216,2011-08-04,3,0,8,0,4,1,2,71,66,76,20,799,3777,4576
217,2011-08-05,3,0,8,0,5,1,1,71,66,63,18,1023,3843,4866
218,2011-08-06,3,0,8,0,6,0,2,72,68,76,23,1521,2773,4294
219,2011-08-07,3,0,8,0,0,0,1,74,72,75,20,1298,2487,3785
220,2011-08-08,3,0,8,0,1,1,1,76,70,59,19,846,3480,4326
221,2011-08-09,3,0,8,0,2,1,1,78,72,57,15,907,3695,4602
222,2011-08-10,3,0,8,0,3,1,1,77,68,42,20,884,3896,4780
223,2011-08-11,3,0,8,0,4,1,1,72,65,42,16,812,3980,4792
224,2011-08-12,3,0,8,0,5,1,1,71,65,42,13,1051,3854,4905
225,2011-08-13,3,0,8,0,6,0,2,69,65,73,21,1504,2646,4150
226,2011-08-14,3,0,8,0,0,0,2,68,62,82,22,1338,2482,3820
227,2011-08-15,3,0,8,0,1,1,1,67,62,71,21,775,3563,4338
228,2011-08-16,3,0,8,0,2,1,1,70,65,58,24,721,4004,4725
229,2011-08-17,3,0,8,0,3,1,1,72,67,58,14,668,4026,4694
230,2011-08-18,3,0,8,0,4,1,1,71,66,65,23,639,3166,3805
231,2011-08-19,3,0,8,0,5,1,2,68,63,72,14,797,3356,4153
232,2011-08-20,3,0,8,0,6,0,1,70,65,67,10,1914,3277,5191
233,2011-08-21,3,0,8,0,0,0,1,71,68,77,25,1249,2624,3873
234,2011-08-22,3,0,8,0,1,1,1,69,64,47,28,833,3925,4758
235,2011-08-23,3,0,8,0,2,1,1,64,61,46,15,1281,4614,5895
236,2011-08-24,3,0,8,0,3,1,1,67,63,60,25,949,4181,5130
237,2011-08-25,3,0,8,0,4,1,2,68,65,77,21,435,3107,3542
238,2011-08-26,3,0,8,0,5,1,1,70,66,76,8,768,3893,4661
239,2011-08-27,3,0,8,0,6,0,2,68,64,85,38,226,889,1115
240,2011-08-28,3,0,8,0,0,0,1,71,65,56,30,1415,2919,4334
241,2011-08-29,3,0,8,0,1,1,1,64,61,55,16,729,3905,4634
242,2011-08-30,3,0,8,0,2,1,1,64,59,55,13,775,4429,5204
243,2011-08-31,3,0,8,0,3,1,1,66,61,60,8,688,4370,5058
244,2011-09-01,3,0,9,0,4,1,1,66,61,64,14,783,4332,5115
245,2011-09-02,3,0,9,0,5,1,2,64,60,73,14,875,3852,4727
246,2011-09-03,3,0,9,0,6,0,1,67,63,72,19,1935,2549,4484
247,2011-09-04,3,0,9,0,0,0,1,71,67,74,21,2521,2419,4940
248,2011-09-05,3,0,9,1,1,0,2,67,63,79,21,1236,2115,3351
249,2011-09-06,3,0,9,0,2,1,3,54,52,89,34,204,2506,2710
250,2011-09-07,3,0,9,0,3,1,3,60,54,92,10,118,1878,1996
251,2011-09-08,3,0,9,0,4,1,3,63,56,94,19,153,1689,1842
252,2011-09-09,3,0,9,0,5,1,2,65,58,90,12,417,3127,3544
253,2011-09-10,3,0,9,0,6,0,1,66,61,75,15,1750,3595,5345
254,2011-09-11,3,0,9,0,0,0,1,65,61,71,12,1633,3413,5046
255,2011-09-12,3,0,9,0,1,1,1,64,60,69,9,690,4023,4713
256,2011-09-13,3,0,9,0,2,1,1,65,60,71,14,701,4062,4763
257,2011-09-14,3,0,9,0,3,1,1,67,63,70,17,647,4138,4785
258,2011-09-15,3,0,9,0,4,1,2,58,55,71,27,428,3231,3659
259,2011-09-16,3,0,9,0,5,1,2,47,46,59,16,742,4018,4760
260,2011-09-17,3,0,9,0,6,0,2,49,48,72,19,1434,3077,4511
261,2011-09-18,3,0,9,0,0,0,1,51,49,70,18,1353,2921,4274
262,2011-09-19,3,0,9,0,1,1,2,55,53,69,15,691,3848,4539
263,2011-09-20,3,0,9,0,2,1,2,56,53,88,13,438,3203,3641
264,2011-09-21,3,0,9,0,3,1,2,60,55,90,10,539,3813,4352
265,2011-09-22,3,0,9,0,4,1,2,63,55,90,13,555,4240,4795
266,2011-09-23,4,0,9,0,5,1,2,61,52,97,8,258,2137,2395
267,2011-09-24,4,0,9,0,6,0,2,61,56,86,8,1776,3647,5423
268,2011-09-25,4,0,9,0,0,0,2,63,57,84,5,1544,3466,5010
269,2011-09-26,4,0,9,0,1,1,2,65,59,85,11,684,3946,4630
270,2011-09-27,4,0,9,0,2,1,2,64,57,89,12,477,3643,4120
271,2011-09-28,4,0,9,0,3,1,2,64,58,85,15,480,3427,3907
272,2011-09-29,4,0,9,0,4,1,1,62,57,70,17,653,4186,4839
273,2011-09-30,4,0,9,0,5,1,1,56,54,65,21,830,4372,5202
274,2011-10-01,4,0,10,0,6,0,2,41,41,75,29,480,1949,2429
275,2011-10-02,4,0,10,0,0,0,2,36,35,79,22,616,2302,2918
276,2011-10-03,4,0,10,0,1,1,2,38,39,76,8,330,3240,3570
277,2011-10-04,4,0,10,0,2,1,1,48,47,71,21,486,3970,4456
278,2011-10-05,4,0,10,0,3,1,1,54,53,65,18,559,4267,4826
279,2011-10-06,4,0,10,0,4,1,1,49,48,62,13,639,4126,4765
280,2011-10-07,4,0,10,0,5,1,1,51,50,68,2,949,4036,4985
281,2011-10-08,4,0,10,0,6,0,1,52,51,70,5,2235,3174,5409
282,2011-10-09,4,0,10,0,0,0,1,54,52,73,6,2397,3114,5511
283,2011-10-10,4,0,10,1,1,0,1,57,54,73,4,1514,3603,5117
284,2011-10-11,4,0,10,0,2,1,2,57,55,81,14,667,3896,4563
285,2011-10-12,4,0,10,0,3,1,3,54,52,91,25,217,2199,2416
286,2011-10-13,4,0,10,0,4,1,2,59,55,90,14,290,2623,2913
287,2011-10-14,4,0,10,0,5,1,2,55,53,72,22,529,3115,3644
288,2011-10-15,4,0,10,0,6,0,1,51,50,48,26,1899,3318,5217
289,2011-10-16,4,0,10,0,0,0,1,51,50,49,28,1748,3293,5041
290,2011-10-17,4,0,10,0,1,1,1,53,51,58,18,713,3857,4570
291,2011-10-18,4,0,10,0,2,1,2,53,52,70,11,637,4111,4748
292,2011-10-19,4,0,10,0,3,1,3,54,51,90,24,254,2170,2424
293,2011-10-20,4,0,10,0,4,1,1,48,47,64,42,471,3724,4195
294,2011-10-21,4,0,10,0,5,1,1,43,42,57,22,676,3628,4304
295,2011-10-22,4,0,10,0,6,0,1,42,43,63,9,1499,2809,4308
296,2011-10-23,4,0,10,0,0,0,1,42,42,74,10,1619,2762,4381
297,2011-10-24,4,0,10,0,1,1,1,46,46,77,12,699,3488,4187
298,2011-10-25,4,0,10,0,2,1,1,47,46,62,17,695,3992,4687
299,2011-10-26,4,0,10,0,3,1,2,48,47,72,15,404,3490,3894
300,2011-10-27,4,0,10,0,4,1,2,47,46,81,20,240,2419,2659
301,2011-10-28,4,0,10,0,5,1,2,33,32,59,23,456,3291,3747
302,2011-10-29,4,0,10,0,6,0,3,25,23,88,35,57,570,627
303,2011-10-30,4,0,10,0,0,0,1,32,32,62,18,885,2446,3331
304,2011-10-31,4,0,10,0,1,1,1,34,36,70,11,362,3307,3669
305,2011-11-01,4,0,11,0,2,1,1,40,40,68,14,410,3658,4068
306,2011-11-02,4,0,11,0,3,1,1,38,39,72,8,370,3816,4186
307,2011-11-03,4,0,11,0,4,1,1,41,41,70,14,318,3656,3974
308,2011-11-04,4,0,11,0,5,1,2,40,40,62,27,470,3576,4046
309,2011-11-05,4,0,11,0,6,0,1,33,32,52,19,1156,2770,3926
310,2011-11-06,4,0,11,0,0,0,1,35,36,73,9,952,2697,3649
311,2011-11-07,4,0,11,0,1,1,1,40,40,76,6,373,3662,4035
312,2011-11-08,4,0,11,0,2,1,1,41,41,72,7,376,3829,4205
313,2011-11-09,4,0,11,0,3,1,1,40,41,76,6,305,3804,4109
314,2011-11-10,4,0,11,0,4,1,2,38,37,81,19,190,2743,2933
315,2011-11-11,4,0,11,1,5,0,1,32,31,45,31,440,2928,3368
316,2011-11-12,4,0,11,0,6,0,1,36,36,55,21,1275,2792,4067
317,2011-11-13,4,0,11,0,0,0,1,44,43,46,28,1004,2713,3717
318,2011-11-14,4,0,11,0,1,1,1,53,52,59,31,595,3891,4486
319,2011-11-15,4,0,11,0,2,1,2,53,51,69,20,449,3746,4195
320,2011-11-16,4,0,11,0,3,1,3,46,45,93,14,145,1672,1817
321,2011-11-17,4,0,11,0,4,1,2,34,32,58,31,139,2914,3053
322,2011-11-18,4,0,11,0,5,1,1,27,27,41,17,245,3147,3392
323,2011-11-19,4,0,11,0,6,0,1,33,32,50,22,943,2720,3663
324,2011-11-20,4,0,11,0,0,0,2,46,46,68,19,787,2733,3520
325,2011-11-21,4,0,11,0,1,1,3,45,45,91,14,220,2545,2765
326,2011-11-22,4,0,11,0,2,1,3,42,42,96,12,69,1538,1607
327,2011-11-23,4,0,11,0,3,1,2,44,43,76,34,112,2454,2566
328,2011-11-24,4,0,11,1,4,0,1,37,37,55,17,560,935,1495
329,2011-11-25,4,0,11,0,5,1,1,38,38,64,10,1095,1697,2792
330,2011-11-26,4,0,11,0,6,0,1,38,39,68,7,1249,1819,3068
331,2011-11-27,4,0,11,0,0,0,1,46,46,70,21,810,2261,3071
332,2011-11-28,4,0,11,0,1,1,1,50,49,74,14,253,3614,3867
333,2011-11-29,4,0,11,0,2,1,2,46,45,83,26,96,2818,2914
334,2011-11-30,4,0,11,0,3,1,1,32,31,61,27,188,3425,3613
335,2011-12-01,4,0,12,0,4,1,1,31,31,52,22,182,3545,3727
336,2011-12-02,4,0,12,0,5,1,1,31,33,63,10,268,3672,3940
337,2011-12-03,4,0,12,0,6,0,1,30,31,61,10,706,2908,3614
338,2011-12-04,4,0,12,0,0,0,1,33,35,78,8,634,2851,3485
339,2011-12-05,4,0,12,0,1,1,2,39,39,83,6,233,3578,3811
340,2011-12-06,4,0,12,0,2,1,3,46,46,95,23,126,2468,2594
341,2011-12-07,4,0,12,0,3,1,3,41,40,97,27,50,655,705
342,2011-12-08,4,0,12,0,4,1,1,27,26,58,24,150,3172,3322
343,2011-12-09,4,0,12,0,5,1,1,29,32,70,8,261,3359,3620
344,2011-12-10,4,0,12,0,6,0,1,28,27,51,23,502,2688,3190
345,2011-12-11,4,0,12,0,0,0,1,22,25,49,7,377,2366,2743
346,2011-12-12,4,0,12,0,1,1,1,24,27,67,6,143,3167,3310
347,2011-12-13,4,0,12,0,2,1,1,28,30,59,14,155,3368,3523
348,2011-12-14,4,0,12,0,3,1,2,32,34,66,6,178,3562,3740
349,2011-12-15,4,0,12,0,4,1,2,42,41,63,27,181,3528,3709
350,2011-12-16,4,0,12,0,5,1,2,38,36,50,26,178,3399,3577
351,2011-12-17,4,0,12,0,6,0,2,26,25,56,24,275,2464,2739
352,2011-12-18,4,0,12,0,0,0,1,24,25,59,17,220,2211,2431
353,2011-12-19,4,0,12,0,1,1,1,28,28,64,17,260,3143,3403
354,2011-12-20,4,0,12,0,2,1,2,39,40,60,6,216,3534,3750
355,2011-12-21,1,0,12,0,3,1,2,43,43,86,22,107,2553,2660
