dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-22,Spring,2011,Jan,No Holiday,Sat,Weekend,Clear,5.91304,7.906960000000001,40.0,17.197000000000003,93,888,981
2011-01-23,Spring,2011,Jan,No Holiday,Sun,Weekend,Clear,9.65217,9.88391,43.6522,24.66,150,836,986
2011-01-24,Spring,2011,Jan,No Holiday,Mon,Weekday,Clear,9.73913,11.793,49.173899999999996,15.833,86,1330,1416
2011-01-25,Spring,2011,Jan,No Holiday,Tue,Weekday,Mist,22.3478,23.4526,61.695699999999995,12.9796,186,1799,1985
2011-01-26,Spring,2011,Jan,No Holiday,Wed,Weekday,Light Rain,21.75,20.36,86.25,29.385,34,472,506
2011-01-27,Spring,2011,Jan,No Holiday,Thu,Weekday,Clear,19.5,21.97,68.75,11.3837,15,416,431
2011-01-28,Spring,2011,Jan,No Holiday,Fri,Weekday,Mist,20.3478,22.331699999999998,79.30430000000001,12.33,38,1129,1167
2011-01-29,Spring,2011,Jan,No Holiday,Sat,Weekend,Clear,19.6522,21.212600000000002,65.17389999999999,14.5365,123,975,1098
2011-01-30,Spring,2011,Jan,No Holiday,Sun,Weekend,Clear,21.6522,25.0322,72.2174,7.39826,140,956,1096
2011-01-31,Spring,2011,Jan,No Holiday,Mon,Weekday,Mist,18.083299999999998,18.625,60.375,18.7192,42,1459,1501
2011-02-01,Spring,2011,Feb,No Holiday,Tue,Weekday,Mist,19.2174,23.453,82.9565,5.3213,47,1313,1360
2011-02-02,Spring,2011,Feb,No Holiday,Wed,Weekday,Mist,26.0,25.4417,77.5417,26.430799999999998,72,1454,1526
2011-02-03,Spring,2011,Feb,No Holiday,Thu,Weekday,Clear,18.695700000000002,17.7878,43.7826,27.775199999999998,61,1489,1550
2011-02-04,Spring,2011,Feb,No Holiday,Fri,Weekday,Mist,21.130399999999998,22.858700000000002,58.521699999999996,12.783900000000001,88,1620,1708
2011-02-05,Spring,2011,Feb,No Holiday,Sat,Weekend,Mist,23.3333,24.305799999999998,92.91669999999999,16.1079,100,905,1005
2011-02-06,Spring,2011,Feb,No Holiday,Sun,Weekend,Clear,28.5833,29.1671,56.833299999999994,14.180000000000001,354,1269,1623
2011-02-07,Spring,2011,Feb,No Holiday,Mon,Weekday,Clear,27.1667,30.3658,73.83330000000001,4.54083,120,1592,1712
2011-02-08,Spring,2011,Feb,No Holiday,Tue,Weekday,Clear,22.0833,19.8246,53.7917,36.195,64,1466,1530
2011-02-09,Spring,2011,Feb,No Holiday,Wed,Weekday,Mist,13.478299999999999,14.4283,49.4783,18.8839,53,1552,1605
2011-02-10,Spring,2011,Feb,No Holiday,Thu,Weekday,Clear,14.434800000000001,14.954799999999999,43.7391,22.1935,47,1491,1538
2011-02-11,Spring,2011,Feb,No Holiday,Fri,Weekday,Clear,18.909100000000002,21.3509,50.6364,10.854999999999999,149,1597,1746
2011-02-12,Spring,2011,Feb,No Holiday,Sat,Weekend,Clear,22.25,23.2954,54.4167,20.3367,288,1184,1472
2011-02-13,Spring,2011,Feb,No Holiday,Sun,Weekend,Clear,31.652200000000004,32.4113,45.7391,26.088299999999997,397,1192,1589
2011-02-14,Spring,2011,Feb,No Holiday,Mon,Weekday,Clear,41.5,39.835,37.583299999999994,41.7908,208,1705,1913
2011-02-15,Spring,2011,Feb,No Holiday,Tue,Weekday,Clear,26.608700000000002,25.4274,31.434800000000003,29.137400000000003,140,1675,1815
2011-02-16,Spring,2011,Feb,No Holiday,Wed,Weekday,Clear,31.8261,31.619999999999997,42.3478,25.1791,218,1897,2115
2011-02-17,Spring,2011,Feb,No Holiday,Thu,Weekday,Clear,43.5833,42.8658,50.5,23.0104,259,2216,2475
2011-02-18,Spring,2011,Feb,No Holiday,Fri,Weekday,Clear,52.1667,51.198299999999996,51.6667,26.492500000000003,579,2348,2927
2011-02-19,Spring,2011,Feb,No Holiday,Sat,Weekend,Clear,39.9167,39.1404,18.7917,50.7463,532,1103,1635
2011-02-20,Spring,2011,Feb,No Holiday,Sun,Weekend,Clear,28.5217,27.733,40.7826,22.3235,639,1173,1812
2011-02-21,Spring,2011,Feb,Holiday,Mon,Weekend,Mist,30.3333,28.407500000000002,60.5,30.7846,195,912,1107
2011-02-22,Spring,2011,Feb,No Holiday,Tue,Weekday,Clear,18.2222,18.6033,57.7778,19.5683,74,1376,1450
2011-02-23,Spring,2011,Feb,No Holiday,Wed,Weekday,Clear,22.1739,24.5717,42.3043,9.4113,139,1778,1917
2011-02-24,Spring,2011,Feb,No Holiday,Thu,Weekday,Mist,29.565200000000004,28.919099999999997,69.7391,25.049599999999998,100,1707,1807
2011-02-25,Spring,2011,Feb,No Holiday,Fri,Weekday,Mist,36.4348,35.0461,71.2174,34.6539,120,1341,1461
2011-02-26,Spring,2011,Feb,No Holiday,Sat,Weekend,Clear,28.249999999999996,28.2192,53.7917,18.6571,424,1545,1969
2011-02-27,Spring,2011,Feb,No Holiday,Sun,Weekend,Clear,34.3478,35.1109,68.0,12.524799999999999,694,1708,2402
2011-02-28,Spring,2011,Feb,No Holiday,Mon,Weekday,Mist,40.7273,40.011799999999994,87.63640000000001,28.9686,81,1365,1446
2011-03-01,Spring,2011,Mar,No Holiday,Tue,Weekday,Clear,26.6667,26.3879,53.5,21.642500000000002,137,1714,1851
2011-03-02,Spring,2011,Mar,No Holiday,Wed,Weekday,Clear,33.5,32.0071,44.9583,30.783300000000004,231,1903,2134
2011-03-03,Spring,2011,Mar,No Holiday,Thu,Weekday,Clear,19.8333,20.0133,31.833299999999998,22.575400000000002,123,1562,1685
2011-03-04,Spring,2011,Mar,No Holiday,Fri,Weekday,Mist,26.1667,25.567899999999998,61.0417,20.3346,214,1730,1944
2011-03-05,Spring,2011,Mar,No Holiday,Sat,Weekend,Mist,38.4167,37.8779,78.91669999999999,25.1871,640,1437,2077
2011-03-06,Spring,2011,Mar,No Holiday,Sun,Weekend,Mist,37.6522,36.6252,94.8261,34.3287,114,491,605
2011-03-07,Spring,2011,Mar,No Holiday,Mon,Weekday,Clear,26.1739,23.8461,55.1304,34.1352,244,1628,1872
2011-03-08,Spring,2011,Mar,No Holiday,Tue,Weekday,Clear,29.25,30.240000000000002,42.0833,12.065,316,1817,2133
2011-03-09,Spring,2011,Mar,No Holiday,Wed,Weekday,Mist,29.5833,28.6608,77.5417,22.015,191,1700,1891
2011-03-10,Spring,2011,Mar,No Holiday,Thu,Weekday,Light Rain,38.9091,38.5668,0.0,26.187700000000003,46,577,623
2011-03-11,Spring,2011,Mar,No Holiday,Fri,Weekday,Mist,31.652200000000004,30.5,64.95649999999999,23.297,247,1730,1977
2011-03-12,Spring,2011,Mar,No Holiday,Sat,Weekend,Clear,32.9167,32.574999999999996,59.458299999999994,22.0775,724,1408,2132
2011-03-13,Spring,2011,Mar,No Holiday,Sun,Weekend,Clear,38.4348,38.009100000000004,52.73910000000001,27.0604,982,1435,2417
2011-03-14,Spring,2011,Mar,No Holiday,Mon,Weekday,Clear,32.521699999999996,33.2,49.695699999999995,13.692599999999999,359,1687,2046
2011-03-15,Spring,2011,Mar,No Holiday,Tue,Weekday,Mist,31.739099999999997,31.817800000000002,65.5652,18.4309,289,1767,2056
2011-03-16,Spring,2011,Mar,No Holiday,Wed,Weekday,Mist,36.5217,36.693,77.65220000000001,20.3117,321,1871,2192
2011-03-17,Spring,2011,Mar,No Holiday,Thu,Weekday,Clear,41.5,41.0333,60.291700000000006,20.9579,424,2320,2744
2011-03-18,Spring,2011,Mar,No Holiday,Fri,Weekday,Clear,54.0,52.7009,52.5217,23.1017,884,2355,3239
2011-03-19,Spring,2011,Mar,No Holiday,Sat,Weekend,Clear,47.25,46.6525,37.9167,36.816700000000004,1424,1693,3117
2011-03-20,Spring,2011,Mar,No Holiday,Sun,Weekend,Clear,33.25,32.574999999999996,47.375,20.7721,1047,1424,2471
2011-03-21,Summer,2011,Mar,No Holiday,Mon,Weekday,Mist,43.0435,40.9735,73.73910000000001,28.878300000000003,401,1676,2077
2011-03-22,Summer,2011,Mar,No Holiday,Tue,Weekday,Clear,44.1667,44.0642,62.4583,22.575,460,2243,2703
2011-03-23,Summer,2011,Mar,No Holiday,Wed,Weekday,Mist,34.6957,33.7939,83.9565,23.426099999999998,203,1918,2121
2011-03-24,Summer,2011,Mar,No Holiday,Thu,Weekday,Mist,28.499999999999996,27.083299999999998,80.58330000000001,24.378700000000002,166,1699,1865
2011-03-25,Summer,2011,Mar,No Holiday,Fri,Weekday,Clear,26.4167,25.6312,49.5,23.0725,300,1910,2210
2011-03-26,Summer,2011,Mar,No Holiday,Sat,Weekend,Clear,26.583299999999998,25.7571,39.4167,20.9571,981,1515,2496
2011-03-27,Summer,2011,Mar,No Holiday,Sun,Weekend,Mist,25.3043,25.0339,49.3913,18.43,472,1221,1693
2011-03-28,Summer,2011,Mar,No Holiday,Mon,Weekday,Clear,26.434800000000003,25.757400000000004,30.2174,21.2204,222,1806,2028
2011-03-29,Summer,2011,Mar,No Holiday,Tue,Weekday,Clear,30.25,29.2908,31.4167,22.6996,317,2108,2425
2011-03-30,Summer,2011,Mar,No Holiday,Wed,Weekday,Mist,30.0,29.735,64.6667,17.2888,168,1368,1536
2011-03-31,Summer,2011,Mar,No Holiday,Thu,Weekday,Light Rain,26.833299999999998,25.7575,91.8333,21.7646,179,1506,1685
2011-04-01,Summer,2011,Apr,No Holiday,Fri,Weekday,Mist,30.0,28.345399999999998,68.625,25.8708,307,1920,2227
2011-04-02,Summer,2011,Apr,No Holiday,Sat,Weekend,Mist,31.5,31.5637,65.375,19.714599999999997,898,1354,2252
2011-04-03,Summer,2011,Apr,No Holiday,Sun,Weekend,Clear,37.833299999999994,37.8767,48.0,18.221300000000003,1651,1598,3249
2011-04-04,Summer,2011,Apr,No Holiday,Mon,Weekday,Clear,57.3333,54.2929,42.625,38.5571,734,2381,3115
2011-04-05,Summer,2011,Apr,No Holiday,Tue,Weekday,Mist,41.4167,39.835,64.2083,38.8067,167,1628,1795
2011-04-06,Summer,2011,Apr,No Holiday,Wed,Weekday,Clear,39.0833,38.7608,47.0833,26.3063,413,2395,2808
2011-04-07,Summer,2011,Apr,No Holiday,Thu,Weekday,Clear,43.75,43.369600000000005,60.291700000000006,16.2312,571,2570,3141
2011-04-08,Summer,2011,Apr,No Holiday,Fri,Weekday,Mist,33.5833,32.447900000000004,83.625,22.6992,172,1299,1471
2011-04-09,Summer,2011,Apr,No Holiday,Sat,Weekend,Mist,34.25,34.1529,87.75,13.308300000000001,879,1576,2455
2011-04-10,Summer,2011,Apr,No Holiday,Sun,Weekend,Mist,42.6667,42.6737,85.75,14.6767,1188,1707,2895
2011-04-11,Summer,2011,Apr,No Holiday,Mon,Weekday,Mist,59.5652,56.521699999999996,71.6956,32.4474,855,2493,3348
2011-04-12,Summer,2011,Apr,No Holiday,Tue,Weekday,Mist,50.24999999999999,49.3054,73.9167,27.4879,257,1777,2034
2011-04-13,Summer,2011,Apr,No Holiday,Wed,Weekday,Mist,41.25,41.728300000000004,81.91669999999999,25.0617,209,1953,2162
2011-04-14,Summer,2011,Apr,No Holiday,Thu,Weekday,Clear,46.75,46.2742,54.041700000000006,11.07,529,2738,3267
2011-04-15,Summer,2011,Apr,Holiday,Fri,Weekend,Clear,44.6667,44.1913,67.125,22.6375,642,2484,3126
2011-04-16,Summer,2011,Apr,No Holiday,Sat,Weekend,Light Rain,43.0833,42.5492,88.83330000000001,34.080799999999996,121,674,795
2011-04-17,Summer,2011,Apr,No Holiday,Sun,Weekend,Clear,45.6667,44.5696,47.9583,30.3496,1558,2186,3744
2011-04-18,Summer,2011,Apr,No Holiday,Mon,Weekday,Clear,51.24999999999999,50.3146,54.25,16.3567,669,2760,3429
2011-04-19,Summer,2011,Apr,No Holiday,Tue,Weekday,Mist,50.583299999999994,48.9258,66.5833,15.7971,409,2795,3204
2011-04-20,Summer,2011,Apr,No Holiday,Wed,Weekday,Clear,59.5,56.4392,61.4167,24.1925,613,3331,3944
2011-04-21,Summer,2011,Apr,No Holiday,Thu,Weekday,Clear,45.9167,45.3892,40.708299999999994,32.5258,745,3444,4189
2011-04-22,Summer,2011,Apr,No Holiday,Fri,Weekday,Mist,33.6667,32.1954,72.9583,21.952099999999998,177,1506,1683
2011-04-23,Summer,2011,Apr,No Holiday,Sat,Weekend,Mist,46.0,45.0121,88.79169999999999,23.0725,1462,2574,4036
2011-04-24,Summer,2011,Apr,No Holiday,Sun,Weekend,Mist,58.166700000000006,55.1763,81.08330000000001,19.2175,1710,2481,4191
2011-04-25,Summer,2011,Apr,No Holiday,Mon,Weekday,Clear,60.6667,57.45,77.6667,18.5333,773,3300,4073
2011-04-26,Summer,2011,Apr,No Holiday,Tue,Weekday,Clear,63.1667,59.408300000000004,72.9167,32.65,678,3722,4400
2011-04-27,Summer,2011,Apr,No Holiday,Wed,Weekday,Mist,62.0,57.5142,83.54169999999999,31.22,547,3325,3872
2011-04-28,Summer,2011,Apr,No Holiday,Thu,Weekday,Mist,61.75000000000001,57.892900000000004,70.08330000000001,32.0908,569,3489,4058
2011-04-29,Summer,2011,Apr,No Holiday,Fri,Weekday,Clear,51.0,49.7463,45.7083,24.0063,878,3717,4595
2011-04-30,Summer,2011,Apr,No Holiday,Sat,Weekend,Clear,47.25,46.402100000000004,50.3333,23.5075,1965,3347,5312
2011-05-01,Summer,2011,May,No Holiday,Sun,Weekend,Mist,45.1667,44.8204,76.2083,10.6354,1138,2213,3351
2011-05-02,Summer,2011,May,No Holiday,Mon,Weekday,Mist,54.9167,53.2833,73.0,18.3454,847,3554,4401
2011-05-03,Summer,2011,May,No Holiday,Tue,Weekday,Mist,61.6667,58.2079,69.7083,34.2667,603,3848,4451
2011-05-04,Summer,2011,May,No Holiday,Wed,Weekday,Mist,41.4167,40.465,73.70830000000001,32.8996,255,2378,2633
2011-05-05,Summer,2011,May,No Holiday,Thu,Weekday,Clear,45.9167,44.1917,44.4167,29.539199999999997,614,3819,4433
2011-05-06,Summer,2011,May,No Holiday,Fri,Weekday,Clear,47.9167,47.4117,59.0,22.8246,894,3714,4608
2011-05-07,Summer,2011,May,No Holiday,Sat,Weekend,Clear,52.0,51.2621,54.125,16.045,1612,3102,4714
2011-05-08,Summer,2011,May,No Holiday,Sun,Weekend,Clear,52.83330000000001,51.893299999999996,63.1667,7.463749999999999,1401,2932,4333
2011-05-09,Summer,2011,May,No Holiday,Mon,Weekday,Clear,53.25,52.5246,58.875,17.599999999999998,664,3698,4362
2011-05-10,Summer,2011,May,No Holiday,Tue,Weekday,Clear,53.25,52.2721,48.9167,11.5671,694,4109,4803
2011-05-11,Summer,2011,May,No Holiday,Wed,Weekday,Clear,54.25,52.839999999999996,63.29169999999999,12.0642,550,3632,4182
2011-05-12,Summer,2011,May,No Holiday,Thu,Weekday,Clear,53.5,52.3363,74.75,18.9667,695,4169,4864
2011-05-13,Summer,2011,May,No Holiday,Fri,Weekday,Mist,51.24999999999999,49.43,86.33330000000001,17.9725,692,3413,4105
2011-05-14,Summer,2011,May,No Holiday,Sat,Weekend,Mist,52.0833,50.0629,92.25,13.495,902,2507,3409
2011-05-15,Summer,2011,May,No Holiday,Sun,Weekend,Mist,56.25,53.6,86.70830000000001,15.2979,1582,2971,4553
2011-05-16,Summer,2011,May,No Holiday,Mon,Weekday,Clear,57.75,55.0512,78.79169999999999,12.687100000000001,773,3185,3958
2011-05-17,Summer,2011,May,No Holiday,Tue,Weekday,Mist,56.166700000000006,53.852900000000005,83.7917,27.7354,678,3445,4123
2011-05-18,Summer,2011,May,No Holiday,Wed,Weekday,Mist,55.00000000000001,52.7158,87.0,20.1492,536,3319,3855
2011-05-19,Summer,2011,May,No Holiday,Thu,Weekday,Mist,53.0833,51.074200000000005,82.9583,10.8213,735,3840,4575
2011-05-20,Summer,2011,May,No Holiday,Fri,Weekday,Clear,53.6667,52.9042,71.9583,12.5013,909,4008,4917
2011-05-21,Summer,2011,May,No Holiday,Sat,Weekend,Clear,60.25,57.1975,62.6667,12.065,2258,3547,5805
2011-05-22,Summer,2011,May,No Holiday,Sun,Weekend,Clear,60.4167,57.45,74.9583,14.8008,1576,3084,4660
2011-05-23,Summer,2011,May,No Holiday,Mon,Weekday,Mist,63.1667,59.0296,81.0,23.3842,836,3438,4274
2011-05-24,Summer,2011,May,No Holiday,Tue,Weekday,Mist,66.0,60.481300000000005,74.0833,20.7092,659,3833,4492
2011-05-25,Summer,2011,May,No Holiday,Wed,Weekday,Clear,66.0833,61.5542,69.625,15.423300000000001,740,4238,4978
2011-05-26,Summer,2011,May,No Holiday,Thu,Weekday,Clear,70.8333,65.4688,67.75,19.964199999999998,758,3919,4677
2011-05-27,Summer,2011,May,No Holiday,Fri,Weekday,Clear,68.1667,63.7008,65.375,24.0679,871,3808,4679
2011-05-28,Summer,2011,May,No Holiday,Sat,Weekend,Clear,65.5833,61.2379,72.9583,23.0092,2001,2757,4758
2011-05-29,Summer,2011,May,No Holiday,Sun,Weekend,Clear,66.75,61.55500000000001,81.875,21.3938,2355,2433,4788
2011-05-30,Summer,2011,May,Holiday,Mon,Weekend,Clear,73.33330000000001,67.1092,68.5,13.1225,1549,2549,4098
2011-05-31,Summer,2011,May,No Holiday,Tue,Weekday,Clear,77.5,72.5383,63.6667,11.1329,673,3309,3982
2011-06-01,Summer,2011,Jun,No Holiday,Wed,Weekday,Mist,76.4167,72.0967,67.7083,20.7092,513,3461,3974
2011-06-02,Summer,2011,Jun,No Holiday,Thu,Weekday,Clear,71.5,64.3942,30.5,29.228700000000003,736,4232,4968
2011-06-03,Summer,2011,Jun,No Holiday,Fri,Weekday,Clear,62.0,58.713300000000004,35.4167,25.312099999999997,898,4414,5312
2011-06-04,Summer,2011,Jun,No Holiday,Sat,Weekend,Clear,63.5,59.4696,45.625,12.3142,1869,3473,5342
2011-06-05,Summer,2011,Jun,No Holiday,Sun,Weekend,Mist,64.83330000000001,61.6804,65.25,13.869200000000001,1685,3221,4906
2011-06-06,Summer,2011,Jun,No Holiday,Mon,Weekday,Clear,67.8333,62.1858,60.0,12.1896,673,3875,4548
2011-06-07,Summer,2011,Jun,No Holiday,Tue,Weekday,Clear,70.75,65.595,59.791700000000006,18.7808,763,4070,4833
2011-06-08,Summer,2011,Jun,No Holiday,Wed,Weekday,Clear,77.5833,72.7279,62.20830000000001,13.6817,676,3725,4401
2011-06-09,Summer,2011,Jun,No Holiday,Thu,Weekday,Mist,80.8333,75.7579,56.833299999999994,14.988299999999999,563,3352,3915
2011-06-10,Summer,2011,Jun,No Holiday,Fri,Weekday,Clear,75.5,70.3292,60.5,14.0554,815,3771,4586
2011-06-11,Summer,2011,Jun,No Holiday,Sat,Weekend,Clear,72.5,67.80380000000001,65.45830000000001,15.485,1729,3237,4966
2011-06-12,Summer,2011,Jun,No Holiday,Sun,Weekend,Clear,69.25,64.33250000000001,74.7917,16.3567,1467,2993,4460
2011-06-13,Summer,2011,Jun,No Holiday,Mon,Weekday,Clear,63.5,60.165400000000005,49.4583,30.535,863,4157,5020
2011-06-14,Summer,2011,Jun,No Holiday,Tue,Weekday,Clear,60.4167,59.1546,50.708299999999994,26.9283,727,4164,4891
2011-06-15,Summer,2011,Jun,No Holiday,Wed,Weekday,Clear,62.6667,58.7754,47.1667,16.7912,769,4411,5180
2011-06-16,Summer,2011,Jun,No Holiday,Thu,Weekday,Mist,62.8333,59.534600000000005,68.8333,20.6471,545,3222,3767
2011-06-17,Summer,2011,Jun,No Holiday,Fri,Weekday,Clear,64.9167,60.0383,73.5833,14.3029,863,3981,4844
2011-06-18,Summer,2011,Jun,No Holiday,Sat,Weekend,Clear,69.6667,64.39540000000001,67.0417,11.9408,1807,3312,5119
2011-06-19,Summer,2011,Jun,No Holiday,Sun,Weekend,Mist,69.91669999999999,64.58460000000001,66.6667,10.2,1639,3105,4744
2011-06-20,Summer,2011,Jun,No Holiday,Mon,Weekday,Mist,63.5,59.534600000000005,74.625,15.5475,699,3311,4010
2011-06-21,Fall,2011,Jun,No Holiday,Tue,Weekday,Mist,68.08330000000001,63.7646,77.0417,17.102500000000003,774,4061,4835
2011-06-22,Fall,2011,Jun,No Holiday,Wed,Weekday,Clear,73.33330000000001,69.3829,70.75,17.2262,661,3846,4507
2011-06-23,Fall,2011,Jun,No Holiday,Thu,Weekday,Mist,72.8333,69.3833,70.3333,23.880399999999998,746,4044,4790
2011-06-24,Fall,2011,Jun,No Holiday,Fri,Weekday,Clear,72.4167,65.6583,57.3333,22.2025,969,4022,4991
2011-06-25,Fall,2011,Jun,No Holiday,Sat,Weekend,Clear,69.5,64.3313,48.3333,20.9571,1782,3420,5202
2011-06-26,Fall,2011,Jun,No Holiday,Sun,Weekend,Clear,68.0,63.7629,51.3333,9.45333,1920,3385,5305
2011-06-27,Fall,2011,Jun,No Holiday,Mon,Weekday,Mist,68.25,63.7004,65.8333,10.7588,854,3854,4708
2011-06-28,Fall,2011,Jun,No Holiday,Tue,Weekday,Clear,74.4167,69.2558,63.416700000000006,14.4283,732,3916,4648
2011-06-29,Fall,2011,Jun,No Holiday,Wed,Weekday,Clear,72.8333,65.4688,49.7917,26.182100000000002,848,4377,5225
2011-06-30,Fall,2011,Jun,No Holiday,Thu,Weekday,Clear,69.6667,63.7008,43.416700000000006,18.531200000000002,1027,4488,5515
2011-07-01,Fall,2011,Jul,No Holiday,Fri,Weekday,Clear,72.25,65.2162,39.625,10.2608,1246,4116,5362
2011-07-02,Fall,2011,Jul,No Holiday,Sat,Weekend,Clear,73.83330000000001,66.7308,44.4583,11.5062,2204,2915,5119
2011-07-03,Fall,2011,Jul,No Holiday,Sun,Weekend,Mist,71.6667,66.8575,68.25,22.8858,2282,2367,4649
2011-07-04,Fall,2011,Jul,Holiday,Mon,Weekend,Mist,72.66669999999999,66.5417,63.7917,8.147920000000001,3065,2978,6043
2011-07-05,Fall,2011,Jul,No Holiday,Tue,Weekday,Clear,74.66669999999999,69.63380000000001,59.0417,12.625800000000002,1031,3634,4665
2011-07-06,Fall,2011,Jul,No Holiday,Wed,Weekday,Clear,72.0,68.5633,74.33330000000001,14.988299999999999,784,3845,4629
2011-07-07,Fall,2011,Jul,No Holiday,Thu,Weekday,Clear,75.0,68.6871,65.125,15.920000000000002,754,3838,4592
2011-07-08,Fall,2011,Jul,No Holiday,Fri,Weekday,Mist,70.9167,67.04830000000001,75.79169999999999,22.5129,692,3348,4040
2011-07-09,Fall,2011,Jul,No Holiday,Sat,Weekend,Clear,73.33330000000001,66.4158,60.9167,16.7912,1988,3348,5336
2011-07-10,Fall,2011,Jul,No Holiday,Sun,Weekend,Clear,74.75,69.0025,57.8333,18.3471,1743,3138,4881
2011-07-11,Fall,2011,Jul,No Holiday,Mon,Weekday,Clear,76.25,72.9804,63.5833,28.2337,723,3363,4086
2011-07-12,Fall,2011,Jul,No Holiday,Tue,Weekday,Clear,79.41669999999999,73.9275,55.9167,20.025399999999998,662,3596,4258
2011-07-13,Fall,2011,Jul,No Holiday,Wed,Weekday,Clear,74.66669999999999,68.9404,63.1667,14.6133,748,3594,4342
2011-07-14,Fall,2011,Jul,No Holiday,Thu,Weekday,Clear,68.08330000000001,63.5104,47.625,24.0667,888,4196,5084
2011-07-15,Fall,2011,Jul,No Holiday,Fri,Weekday,Clear,66.3333,62.4371,59.12500000000001,18.2833,1318,4220,5538
2011-07-16,Fall,2011,Jul,No Holiday,Sat,Weekend,Clear,68.6667,63.8263,58.5,20.8342,2418,3505,5923
2011-07-17,Fall,2011,Jul,No Holiday,Sun,Weekend,Clear,71.9167,66.9833,60.4167,24.5033,2006,3296,5302
2011-07-18,Fall,2011,Jul,No Holiday,Mon,Weekday,Clear,74.66669999999999,70.3925,65.125,21.5804,841,3617,4458
2011-07-19,Fall,2011,Jul,No Holiday,Tue,Weekday,Clear,77.6667,74.7479,65.0417,13.059999999999999,752,3789,4541
2011-07-20,Fall,2011,Jul,No Holiday,Wed,Weekday,Clear,76.83330000000001,74.685,70.70830000000001,11.3817,644,3688,4332
2011-07-21,Fall,2011,Jul,No Holiday,Thu,Weekday,Mist,81.5,82.6371,69.125,22.202099999999998,632,3152,3784
2011-07-22,Fall,2011,Jul,No Holiday,Fri,Weekday,Clear,84.8333,84.0896,58.0417,13.309999999999999,562,2825,3387
2011-07-23,Fall,2011,Jul,No Holiday,Sat,Weekend,Clear,84.9167,80.42869999999999,50.0,13.1221,987,2298,3285
2011-07-24,Fall,2011,Jul,No Holiday,Sun,Weekend,Clear,83.0,79.4829,55.0833,16.917099999999998,1050,2556,3606
2011-07-25,Fall,2011,Jul,No Holiday,Mon,Weekday,Clear,74.33330000000001,72.0958,75.7083,9.080829999999999,568,3272,3840
2011-07-26,Fall,2011,Jul,No Holiday,Tue,Weekday,Clear,77.1667,69.6979,54.0833,20.0258,750,3840,4590
